"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.879383850E-1,-1.232303679E-1,-1.052841991E-1,9.859027863E0,9.860360079E0
6.904703120E-1,-1.663011760E-1,-8.614161611E-2,9.897313118E0,9.899084979E0
6.929762500E-1,-9.451649338E-2,-1.100698411E-1,9.959526062E0,9.960582720E0
6.954821870E-1,-1.280160099E-1,-1.339980662E-1,9.964311600E0,9.966034780E0
6.979880730E-1,-1.088734269E-1,-1.292124242E-1,9.926026344E0,9.927464342E0
7.004940100E-1,-1.280160099E-1,-1.148554832E-1,9.873384476E0,9.874882323E0
7.029999480E-1,-8.973085135E-2,-1.292124242E-1,9.906884193E0,9.908133119E0
7.055058850E-1,-9.930214286E-2,-1.100698411E-1,9.940383911E0,9.941489254E0
7.080118230E-1,-8.494520187E-2,-1.004985496E-1,9.969097137E0,9.969965566E0
7.105168230E-1,-6.580262631E-2,-1.292124242E-1,9.849455833E0,9.850523136E0
7.129900000E-1,-4.187439755E-2,-1.244267747E-1,9.873384476E0,9.874257263E0
7.154950000E-1,-1.136590764E-1,-1.387837082E-1,9.983454704E0,9.985066206E0
7.179999480E-1,-7.537391037E-2,-1.052841991E-1,9.969097137E0,9.969938000E0
7.205048440E-1,-8.973085135E-2,-1.004985496E-1,9.906884193E0,9.907800261E0
7.230098440E-1,-8.973085135E-2,-8.135596663E-2,9.882955551E0,9.883697731E0
7.255148440E-1,-8.973085135E-2,-1.004985496E-1,9.902098656E0,9.903015166E0
7.280202600E-1,-9.930214286E-2,-1.052841991E-1,9.959526062E0,9.960577546E0
7.305424480E-1,-7.058826834E-2,-8.614161611E-2,9.935597420E0,9.936221574E0
7.330478650E-1,-1.232303679E-1,-1.148554832E-1,9.902098656E0,9.903531456E0
7.355532290E-1,-9.451649338E-2,-7.657032460E-2,9.949954987E0,9.950698499E0
7.380585940E-1,-8.973085135E-2,-1.196411327E-1,9.954740524E0,9.955863827E0
7.405640100E-1,-1.375873089E-1,-1.339980662E-1,9.935597420E0,9.937453489E0
7.430693750E-1,-7.537391037E-2,-1.387837082E-1,9.906884193E0,9.908142942E0
7.455747920E-1,-1.088734269E-1,-1.387837082E-1,9.926026344E0,9.927593532E0
7.480801560E-1,-8.015955985E-2,-1.292124242E-1,9.969097137E0,9.970256724E0
7.505853650E-1,-1.136590764E-1,-1.579262912E-1,9.969097137E0,9.970995780E0
7.530844790E-1,-9.930214286E-2,-1.435693651E-1,9.892526627E0,9.894066714E0
7.555896870E-1,-9.930214286E-2,-1.387837082E-1,9.911669731E0,9.913138690E0
7.580948960E-1,-1.375873089E-1,-1.004985496E-1,9.945169449E0,9.946628856E0
7.606000520E-1,-8.973085135E-2,-1.339980662E-1,9.873384476E0,9.874701419E0
7.631052600E-1,-1.232303679E-1,-1.100698411E-1,9.882955551E0,9.884336676E0
7.656104690E-1,-1.136590764E-1,-1.148554832E-1,9.902098656E0,9.903416984E0
7.681159900E-1,-1.136590764E-1,-9.571290761E-2,9.930811882E0,9.931923478E0
7.706341670E-1,-1.088734269E-1,-1.292124242E-1,9.926026344E0,9.927464342E0
7.731396870E-1,-1.232303679E-1,-9.092725813E-2,9.859027863E0,9.860217233E0
7.756452080E-1,-1.136590764E-1,-1.004985496E-1,9.940383911E0,9.941541663E0
7.781506770E-1,-1.136590764E-1,-1.052841991E-1,9.959526062E0,9.960731024E0
7.806561980E-1,-8.015955985E-2,-1.148554832E-1,9.892526627E0,9.893518100E0
7.831617190E-1,-9.930214286E-2,-8.614161611E-2,9.902098656E0,9.902971225E0
7.856672400E-1,-9.930214286E-2,-1.387837082E-1,9.935597420E0,9.937062842E0
7.881727600E-1,-8.973085135E-2,-1.244267747E-1,9.949954987E0,9.951137517E0
7.906776040E-1,-1.136590764E-1,-1.339980662E-1,9.945169449E0,9.946721532E0
7.931705730E-1,-1.088734269E-1,-1.148554832E-1,9.902098656E0,9.903363216E0
7.956635420E-1,-9.930214286E-2,-1.100698411E-1,9.921240807E0,9.922348282E0
7.981683850E-1,-1.375873089E-1,-1.244267747E-1,9.940383911E0,9.942114694E0
8.006731770E-1,-1.328016520E-1,-1.531406492E-1,9.916455269E0,9.918526778E0
8.031780210E-1,-8.973085135E-2,-1.627119333E-1,9.959526062E0,9.961259267E0
8.056828120E-1,-1.184447184E-1,-1.292124242E-1,9.882955551E0,9.884509873E0
8.081884370E-1,-1.471585929E-1,-9.092725813E-2,9.959526062E0,9.961028200E0
8.107261460E-1,-1.375873089E-1,-1.052841991E-1,9.935597420E0,9.937107784E0
