"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.603011970E-1,-1.402361691E-2,-6.846383214E-3,-7.628536224E-2,7.786521230E-2
7.652792700E-1,-9.188219905E-3,2.685174346E-3,-8.039951324E-2,8.096737168E-2
7.702631770E-1,1.465317607E-2,-2.003520727E-3,-9.397315979E-2,9.512982931E-2
7.752414580E-1,-4.545181990E-3,2.173316479E-2,-4.570674896E-2,5.081432900E-2
7.802198430E-1,2.091228962E-4,-1.170834899E-2,1.640319824E-2,2.015425714E-2
7.851981770E-1,-1.876533031E-2,-6.831720471E-3,3.051280975E-2,3.646699310E-2
7.901746350E-1,1.945358515E-2,-1.629425585E-2,3.975677490E-2,4.716509196E-2
7.951528640E-1,9.762421250E-3,-1.607485116E-2,-1.280689240E-2,2.275350964E-2
8.001310930E-1,-2.833792567E-2,-1.664847136E-3,-7.917881012E-2,8.411357631E-2
8.051093750E-1,-4.389271140E-3,-3.480838239E-2,-7.851791382E-2,8.599972079E-2
8.100881770E-1,4.181116819E-4,-2.499151230E-2,-4.937171936E-2,5.533820721E-2
8.150664060E-1,-4.260331392E-3,3.738284111E-3,3.651428223E-2,3.695156287E-2
8.200446870E-1,4.424601793E-4,-5.760848522E-3,6.470012665E-2,6.495759798E-2
8.250229680E-1,-9.140461683E-3,-9.345561266E-4,3.092098236E-2,3.225722532E-2
8.299967180E-1,-2.328749001E-2,-5.593270063E-3,1.641941071E-2,2.903771528E-2
8.349747390E-1,5.419865251E-3,-7.683783770E-4,-4.069805145E-2,4.106454355E-2
8.399527600E-1,2.913950384E-2,-5.480676889E-3,-7.118225098E-3,3.049291117E-2
8.449308330E-1,-1.381643116E-2,2.308496833E-2,-2.605152130E-2,3.744985040E-2
8.499164580E-1,-3.267082572E-2,3.926873207E-3,1.690292358E-2,3.699340498E-2
8.548948430E-1,1.516097784E-2,8.672431111E-3,5.950069427E-2,6.201128066E-2
8.598732810E-1,5.559951067E-3,3.881454468E-3,4.001140594E-2,4.058190915E-2
8.648517180E-1,-4.014387727E-3,-1.041810215E-2,-7.807731628E-3,1.362398012E-2
8.698355720E-1,-1.350793242E-2,-8.568018675E-4,-2.673721313E-2,2.996793143E-2
8.748142180E-1,1.031820476E-2,1.812104881E-2,-5.975437164E-2,6.328840881E-2
8.797929160E-1,6.550848484E-4,1.330204308E-2,-3.551387787E-2,3.792899956E-2
8.847716140E-1,1.497076452E-2,8.523985744E-3,2.176666260E-2,2.775913766E-2
8.897438020E-1,5.372330546E-3,-1.067280769E-3,4.057884216E-2,4.094683694E-2
8.947220830E-1,-1.364515722E-2,1.311311126E-2,7.347965240E-2,7.587755478E-2
8.997004680E-1,1.018106937E-2,1.772983372E-2,3.962707520E-2,4.459042796E-2
9.046788540E-1,5.368977785E-3,1.756036282E-2,-2.243328094E-2,2.899041839E-2
9.096545830E-1,-4.149407148E-3,1.264227927E-2,-5.548572540E-2,5.705883392E-2
9.146327600E-1,1.020629704E-2,2.195838094E-2,-3.602981567E-2,4.341067392E-2
9.196109890E-1,2.908526361E-2,-6.738066673E-3,7.005691528E-3,3.066649337E-2
9.245892180E-1,-4.322022200E-3,7.541075349E-3,3.069114685E-2,3.189818472E-2
9.296053120E-1,1.472941041E-2,1.695334911E-2,7.791996002E-2,8.109187226E-2
9.345853640E-1,9.826093912E-3,-2.202853560E-3,2.028751373E-2,2.264923616E-2
9.395655200E-1,9.713172913E-3,2.489969134E-3,-4.161357880E-2,4.280462142E-2
9.445456770E-1,2.849057317E-2,1.669298112E-2,-3.177261353E-2,4.582430958E-2
9.495232290E-1,-9.712532163E-3,1.658366621E-2,-5.050086975E-2,5.403414764E-2
9.545032290E-1,1.413215697E-2,3.547003865E-2,-1.683998108E-2,4.173040217E-2
9.594832290E-1,2.358494699E-2,1.146253943E-2,4.503250122E-2,5.211109000E-2
9.644632290E-1,-5.026921630E-3,1.614452899E-2,6.365299225E-2,6.586060415E-2
9.694263540E-1,4.533171654E-3,-3.005638719E-3,5.362510681E-2,5.390023738E-2
9.744054680E-1,-4.307079315E-2,1.124161482E-2,-1.330280304E-2,4.645892482E-2
9.793846350E-1,-2.849531174E-2,3.011865914E-2,-5.118083954E-2,6.586801010E-2
9.843637500E-1,-2.823656797E-2,2.045351267E-2,-4.600429535E-2,5.772386978E-2
9.893624470E-1,5.131661892E-4,1.265719533E-3,-4.562091827E-2,4.564135810E-2
9.943425000E-1,-4.269585013E-3,-3.515809774E-3,5.447673798E-2,5.475678273E-2
9.993226560E-1,-1.376098394E-2,-1.300598681E-2,5.402183533E-2,5.724403082E-2
1.004302812E0,1.486594975E-2,-3.422334790E-3,6.306838989E-2,6.488706066E-2
1.009246093E0,-1.858013868E-2,-1.766085625E-2,-3.937721252E-3,2.593517005E-2
1.014224270E0,-1.855880022E-2,-3.239184618E-3,-6.088733673E-2,6.373530542E-2
1.019202552E0,-4.239857197E-3,-2.697794139E-2,-1.078672409E-1,1.112705144E-1
